*,Product,Code,Size,Retail price,Available Stock,Hold Stock,Total price
806,Pad Lock (Shen Ji) 2 Inch (50mm),3G23-14,50,Rs.215.00,0,0,Rs.0.00
807,Pad Lock (Shen Ji) 2 1/2 Inch (63mm),3G23-15,63,Rs.308.00,0,0,Rs.0.00
808,Pad Lock Card (Iron) 25-32-38 mm,3G23-16,0,"Rs.1,984.00",0,0,Rs.0.00
809,Pad Lock (Solo) Superior Long Arm (40mm),3G23-17,40,"Rs.1,890.00",0,0,Rs.0.00
810,Pad Lock (Solo) Superior Long Arm (50mm),3G23-18,50,"Rs.2,137.00",0,0,Rs.0.00
811,Chain Lock (Large),3G24-01,0,Rs.890.00,10,0,"Rs.30,260.00"
812,Roller Tray (Large) OEM,3G25-01,0,Rs.170.00,92,9,"Rs.33,320.00"
813,L Bracket 3X4,3G26-01,3,Rs.482.00,0,0,Rs.0.00
814,L Bracket 4X5,3G26-02,4,"Rs.1,079.00",0,0,Rs.0.00
815,L Bracket 5X6,3G26-03,5,"Rs.1,020.00",3,0,Rs.0.00
816,L Bracket 6X8,3G26-04,6,"Rs.1,090.00",355,9,"Rs.397,850.00"
817,L Bracket 8X10,3G26-05,8,"Rs.1,470.00",313,4,"Rs.448,350.00"
818,L Bracket 10X12,3G26-06,10,"Rs.1,950.00",144,5,"Rs.273,000.00"
819,L Bracket 12X14,3G26-07,12,"Rs.2,420.00",326,1,"Rs.808,280.00"
820,Wall Plug 6mm (100Pcs),3G27-01,6,Rs.98.00,0,0,Rs.0.00
821,Wall Plug 7mm (100Pcs),3G27-02,7,Rs.140.00,0,0,Rs.0.00
822,Wall Plug 8mm (100Pcs),3G27-03,8,Rs.175.00,0,0,Rs.0.00
823,Wall Plug 10mm (50Pcs),3G27-04,10,Rs.180.00,78,4,"Rs.17,460.00"
824,Wall Plug 10mm (100Pcs),3G27-05,10,Rs.184.00,0,0,Rs.0.00
825,Wall Plug 12mm (25Pcs),3G27-06,12,Rs.150.00,0,5,Rs.750.00
826,Combination Stone (Plastic Box) 6 Inch,3G28-01,6,Rs.341.00,0,0,Rs.0.00
827,Combination Stone (Plastic Box) 8 Inch,3G28-02,8,Rs.378.00,0,0,Rs.0.00
828,Double Side Tape No 1 - 1 Inch,3G29-01,1,Rs.330.00,722,15,"Rs.166,650.00"
829,Double Side Tape No 1 - 1/2 Inch,3G29-02,02-Jan,Rs.168.00,957,15,"Rs.166,152.00"
830,Flashing Tape 2 Inch,3G30-01,2,Rs.875.00,566,49,"Rs.491,750.00"
831,Flashing Tape 3 Inch,3G30-02,3,"Rs.1,315.00",393,4,"Rs.516,795.00"
832,Flashing Tape 4 Inch,3G30-03,4,"Rs.1,885.00",0,0,Rs.0.00
833,Duct Tape 2 Inch,3G31-01,2,Rs.515.00,309,6,"Rs.124,115.00"
834,Mesh Tape 20m,3G32-01,20,Rs.220.00,0,0,Rs.0.00
835,Mesh Tape 45m,3G32-02,45,Rs.350.00,0,0,Rs.0.00
836,Mesh Tape 75m,3G32-03,75,Rs.321.00,0,0,Rs.0.00
837,"Sand Paper Roll 4""X40 (50m)",3G33-01,0,"Rs.3,916.00",0,0,Rs.0.00
838,"Sand Paper Roll 4""X60 (50m)",3G33-02,0,"Rs.3,916.00",0,0,Rs.0.00
839,"Sand Paper Roll 4""X80 (50m)",3G33-03,0,"Rs.3,916.00",0,0,Rs.0.00
840,"Sand Paper Roll 4""X100 (50m)",3G33-04,0,"Rs.3,916.00",0,0,Rs.0.00
841,"Sand Paper Roll 4""X120 (50m)",3G33-05,0,"Rs.3,916.00",0,0,Rs.0.00
842,"Sand Paper Roll 6""X60 (25m)",3G33-06,0,"Rs.5,512.00",0,0,Rs.0.00
843,"Sand Paper Roll 6""X80 (25m)",3G33-07,0,"Rs.2,636.00",0,0,Rs.0.00
844,"Sand Paper Roll 6""X100 (25m)",3G33-08,0,"Rs.5,512.00",0,0,Rs.0.00
845,"Sand Paper Roll 6""X120 (25m)",3G33-09,0,"Rs.2,636.00",0,0,Rs.0.00
846,"Sand Paper Roll 6""X40 (50m)",3G33-10,0,"Rs.11,025.00",0,0,Rs.0.00
847,"Sand Paper Roll 6""X60 (50m)",3G33-11,0,"Rs.11,025.00",0,0,Rs.0.00
848,"Sand Paper Roll 6""X80 (50m)",3G33-12,0,"Rs.11,025.00",0,0,Rs.0.00
849,"Sand Paper Roll 6""X100 (50m)",3G33-13,0,"Rs.11,025.00",0,0,Rs.0.00
850,"Sand Paper Roll 6""X120 (50m)",3G33-14,0,"Rs.11,025.00",0,0,Rs.0.00
851,Tower Bolt (Aluminium) 2 Inch,3G34-01,0,Rs.70.00,0,0,Rs.0.00
852,Tower Bolt (Aluminium) 2.5 Inch,3G34-02,0,Rs.116.00,0,0,Rs.0.00
853,Tower Bolt (Aluminium) 3 Inch,3G34-03,3,Rs.131.00,0,0,Rs.0.00
854,Tower Bolt (Aluminium) 4 Inch,3G34-04,4,Rs.147.00,0,0,Rs.0.00
855,Tower Bolt (Aluminium) 5 Inch,3G34-05,5,Rs.189.00,0,0,Rs.0.00
856,Tower Bolt (Aluminium) 6 Inch,3G34-06,6,Rs.110.00,0,0,Rs.0.00
857,Tower Bolt (Stanley) 2 1/2 Inch (60mm),3G34-07,2 1/2,Rs.592.00,0,0,Rs.0.00
858,Tower Bolt (Stanley) 3 Inch (80mm),3G34-08,3,Rs.40.00,172,0,"Rs.81,120.00"
859,Tower Bolt (Stanley) 4 Inch (100mm),3G34-09,4,Rs.55.00,0,12,"Rs.1,485.00"
860,Tower Bolt (Stanley) 5 Inch (125mm),3G34-10,5,Rs.65.00,0,0,Rs.0.00
861,Tower Bolt (Stanley) 6 Inch (150mm),3G34-11,6,"Rs.1,199.00",0,0,Rs.0.00
