*,Product,Code,Size,Retail price,Available Stock,Hold Stock,Total price
1237,Hand Shower (Fishdi) Square,4S14-03,0,"Rs.1,590.00",270,6,"Rs.453,150.00"
1238,Hand Shower (Akvaline) Round,4S14-04,0,"Rs.1,150.00",0,0,Rs.0.00
1239,Biddy Spray Set (Opp Pack) Ivory,4S15-01,0,Rs.590.00,0,0,Rs.0.00
1240,Biddy Spray Set (Opp Pack) Blue,4S15-02,0,Rs.590.00,0,0,Rs.0.00
1241,Biddy Spray Set (Opp Pack) Pink,4S15-03,0,Rs.590.00,0,0,Rs.0.00
1242,Biddy Spray Set (Opp Pack) White,4S15-04,0,Rs.480.00,0,22,"Rs.12,000.00"
1243,Biddy Spray Set (Opp Pack) Green,4S15-05,0,Rs.590.00,0,0,Rs.0.00
1244,Biddy Spray Set (Faucet) White,4S15-06,0,Rs.682.00,0,0,Rs.0.00
1245,Biddy Spray Set (Fishidi) White,4S15-07,0,"Rs.1,155.00",10,0,Rs.0.00
1246,Biddy Spray Set (Zeo Bath) Nical,4S16-01,0,"Rs.1,120.00",0,0,Rs.0.00
1247,Biddy Spray Set (Shaffat) ABS Nical,4S16-02,0,"Rs.1,260.00",260,2,"Rs.326,340.00"
1248,Biddy Spray Set (NBT) Nical,4S16-03,0,"Rs.1,120.00",0,0,Rs.0.00
1249,Biddy Spray Set (Brass - Nical),4S16-04,0,"Rs.1,758.00",0,0,Rs.0.00
1250,Biddy Spray Set (R&S) Nical,4S16-05,0,Rs.980.00,0,0,Rs.0.00
1251,Biddy Head (Opp Pack) White,4S17-01,0,Rs.200.00,89,19,"Rs.11,800.00"
1252,Biddy Head (Opp Pack) Beige,4S17-02,0,Rs.368.00,0,0,Rs.0.00
1254,Biddy Head (Opp Pack) Blue,4S17-03,0,Rs.368.00,0,0,Rs.0.00
1255,Biddy Head (Opp Pack) Green,4S17-04,0,Rs.368.00,0,0,Rs.0.00
1256,Biddy Head (Opp Pack) Pink,4S17-05,0,Rs.368.00,0,0,Rs.0.00
1257,Biddy Head ( Opp Pack ) White - Nical Lever,4S17-06,0,Rs.418.00,0,0,Rs.0.00
1258,Biddy Head ( Opp Pack ) Nical,4S17-07,0,Rs.380.00,208,0,"Rs.139,460.00"
1259,Flexible Hose (Nical) 45 Cm,4S18-01,45,Rs.222.00,0,0,Rs.0.00
1260,Flexible Hose (Nical) 60 Cm,4S18-02,60,Rs.420.00,0,0,Rs.0.00
1261,Flexible Hose (Nical) 150 Cm,4S18-03,150,Rs.980.00,0,0,Rs.0.00
1262,Flexible Hose (NBT) Double Wire 100 Cm,4S18-04,100,"Rs.1,176.00",0,3,"Rs.12,936.00"
1263,Flexible Hose (P.V.C) 45Cm,4S18-05,45,Rs.270.00,0,0,Rs.0.00
1264,Flexible Hose (P.V.C) 60 Cm,4S18-06,60,Rs.295.00,0,0,Rs.0.00
1265,Flexible Hose (P.V.C) 90 Cm,4S18-07,90,Rs.401.00,0,0,Rs.0.00
1266,Flexible Hose Hot & Cool (NYLON) 45 Cm,4S18-08,45,Rs.326.00,0,0,Rs.0.00
1267,Flexible Hose Hot & Cool (NYLON) 60 Cm,4S18-09,60,Rs.340.00,0,0,"Rs.6,800.00"
1268,Flexible Hose Hot & Cool (NYLON) 70 Cm,4S18-10,70,Rs.368.00,0,0,Rs.0.00
1269,Flexible Hose Hot & Cool (NYLON) 90 Cm,4S18-11,90,Rs.420.00,0,0,Rs.0.00
1271,Non Return Valve (Venus Brass) 1/2 Inch,4S19-01,02-Jan,Rs.578.00,0,0,Rs.0.00
1272,Non Return Valve (Venus Brass) 3/4 Inch,4S19-02,04-Mar,Rs.592.00,0,0,Rs.0.00
1273,Non Return Valve (Venus Brass) 1 Inch,4S19-03,1,"Rs.1,250.00",0,0,Rs.0.00
1274,Non Return Valve (Brass-Tec/Jmao) 1 Inch,4S19-04,1,"Rs.1,344.00",0,0,Rs.0.00
1275,Non Return Valve (Brass-Indian) 1 Inch,4S19-05,1,"Rs.1,312.00",0,0,Rs.0.00
1276,Ball Float Valve EHPL (Brass) 1/2 Inch,4S20-01,02-Jan,"Rs.1,950.00",0,0,Rs.0.00
1277,Ball Float Valve EHPL (Brass) 3/4 Inch,4S20-02,04-Mar,"Rs.2,370.00",0,0,Rs.0.00
1278,Ball Float Valve EHPL (Brass) 1 Inch,4S20-03,1,"Rs.2,975.00",0,0,Rs.0.00
1279,Ball Float Valve (Brass) Stright Lever 1/2 Inch,4S20-04,02-Jan,"Rs.1,575.00",0,0,Rs.0.00
1280,Ball Float Valve (Brass) Stright Lever 3/4 Inch,4S20-05,04-Mar,Rs.854.00,0,0,Rs.0.00
1281,Ball Float Valve (Brass) Stright Lever 1 Inch,4S20-06,1,"Rs.2,510.00",0,0,Rs.0.00
1282,Ball Valve (Y-King Brass) 1/2 Inch,4S21-01,02-Jan,Rs.788.00,0,0,Rs.0.00
1283,Ball Valve (Y-King Brass) 3/4 Inch,4S21-02,04-Mar,"Rs.1,312.00",23,3,"Rs.34,112.00"
1284,Ball Valve (Y-King Brass) 1 Inch,4S21-03,1,"Rs.1,205.00",0,0,Rs.0.00
1285,Ball Valve (Venus Brass) 1/2 Inch,4S21-04,02-Jan,Rs.870.00,0,0,Rs.0.00
1286,Ball Valve (Venus Brass) 3/4 Inch,4S21-05,04-Mar,"Rs.1,430.00",0,0,Rs.0.00
1287,Ball Valve (Venus Brass) 1 Inch,4S21-06,1,"Rs.1,850.00",0,0,"Rs.38,850.00"
1288,Ball Valve (Venus Brass) 1 1/2 Inch,4S21-07,1 1/2,"Rs.2,962.00",0,0,Rs.0.00
1289,Ball Valve (Venus Brass) 1 1/4 Inch,4S21-08,1 1/4,"Rs.1,657.00",0,0,Rs.0.00
1290,Ball Valve (Viva Brass) 1/2 Inch,4S22-01,02-Jan,Rs.709.00,0,0,Rs.0.00
1291,Ball Valve (Viva Brass) 3/4 Inch,4S22-02,04-Mar,Rs.814.00,0,0,Rs.0.00
1292,Ball Valve (Viva Brass) 1 Inch,4S22-03,1,Rs.987.00,0,0,Rs.0.00
1293,Ball Valve (Vsi Brass) 1/2 Inch,4S22-04,02-Jan,Rs.892.00,0,0,Rs.0.00
1294,Ball Valve (Forged) 1/2 Inch,4S22-05,02-Jan,Rs.735.00,0,0,Rs.0.00
1295,Magic Hose (PVC) Without West 1 1/4 Inch,4S23-01,1 1/4,Rs.97.50,0,0,Rs.0.00
1296,Magic Hose (PVC) Without West 1 1/2 Inch,4S23-02,1 1/2,Rs.110.00,0,0,Rs.0.00
1297,Magic Hose (PVC) With Sink West 1 1/4 Inch,4S23-03,1 1/4,Rs.222.00,0,0,Rs.0.00
1298,Magic Hose (PVC) Without West (Hevy) 1 1/4 Inch,4S23-04,1 1/4,Rs.257.00,0,0,Rs.0.00
1299,Magic Bend (Pvc) Gray 4 Inch,4S24-01,4,Rs.820.00,0,0,Rs.0.00
1300,L Bend (Pvc) 4 Inch,4S25-01,4,Rs.740.00,7,0,Rs.0.00
1301,Cistern Fitting Set - Push,4S26-01,0,Rs.950.00,146,10,"Rs.147,250.00"
1302,Cistern Fitting Handle - Side,4S26-02,0,Rs.266.00,0,0,Rs.0.00
1303,Sanitary Fixing Set (S/S) 2 Nails,4S27-01,0,Rs.220.00,325,6,"Rs.71,500.00"
1304,Sanitary Fixing Set (S/S) 4 Nails,4S27-02,0,Rs.230.00,181,18,"Rs.42,090.00"
1305,Towel Bar S/S (Wesda) 60 cm,4S28-01,60,Rs.570.00,141,0,"Rs.79,230.00"
1306,Towel Bar S/S (Mikado) Round Arm With Single Hook,4S28-02,0,Rs.808.00,0,0,Rs.0.00
1307,Towel Bar S/S (Mikado) Round Arm With Double Hook,4S28-03,0,"Rs.1,102.00",0,0,Rs.0.00
1308,Towel Bar S/S (Mikado) Squre Arm With Hook,4S28-04,0,"Rs.1,732.00",0,0,Rs.0.00
1309,Towel Bar S/S (Mikado) Squre Arm (Normal),4S28-05,0,"Rs.1,575.00",0,0,Rs.0.00
1310,Soap Case (S/S) Classic,4S29-01,0,Rs.211.00,0,0,Rs.0.00
1311,Soap Case (S/S) Blue Box,4S29-02,0,Rs.390.00,0,0,Rs.0.00
1312,Bathroom Soap Holder S/S),4S29-03,0,Rs.770.00,0,0,Rs.0.00
1313,Soap Dish Single (ABS),4S29-04,0,Rs.300.00,0,0,Rs.0.00
1314,Soap Dish Double (ABS),4S29-05,0,Rs.520.00,0,0,Rs.0.00
1315,Shelf Soap Tray (ABS) 14 Inch,4S29-06,14,Rs.630.00,0,0,Rs.0.00
1316,Soap Dispenser & Holder (800ml),4S30-01,0,"Rs.1,115.00",0,0,Rs.0.00
1317,Soap Dispenser & Holder (500ml),4S30-02,0,Rs.933.00,0,0,Rs.0.00
1318,Outlat Hose 1.5m,4S31-01,0,Rs.340.00,0,3,"Rs.6,460.00"
1319,Outlat Hose 2m,4S31-02,0,Rs.380.00,0,2,Rs.760.00
1320,Outlat Hose (Indian) 5 Feet,4S31-03,0,Rs.368.00,0,0,Rs.0.00
1321,Inlet Hose W/M 1 1/2m,4S32-01,0,Rs.430.00,70,3,"Rs.56,330.00"
1322,Inlet Hose (Flexible) Semi Automatic 1.5m,4S32-02,0,Rs.210.00,78,0,Rs.0.00
1323,Combined Valve (Force Brand) 1/2 Inch,4S33-01,02-Jan,Rs.99.00,0,0,Rs.0.00
1324,Combined Valve (Force Brand) 3/4 Inch,4S33-02,04-Mar,Rs.161.00,0,0,Rs.0.00
1325,Combined Valve (Force Brand) 1 Inch,4S33-03,1,Rs.235.00,0,0,Rs.0.00
1326,Commode Seat Cover - Classic,4S34-01,0,"Rs.1,102.00",0,0,Rs.0.00
1327,Iron Oxide (Kapriol) S190 Red Bag 25 kg,5I01-01,25,"Rs.13,010.00",0,0,Rs.0.00
1328,Iron Oxide (Kapriol) S375 Black Bag 25 kg,5I01-02,25,"Rs.20,475.00",0,0,Rs.0.00
1329,Iron Oxide (Malaysian)  Black Bag 25 kg,5I01-03,25,"Rs.12,425.00",35,2,"Rs.534,275.00"
1330,Iron Oxide (S190) Red Bag 25 kg,5I01-04,25,"Rs.11,850.00",43,0,"Rs.604,350.00"
1331,Iron Oxide (Eagle) 130 Holand Red 20 kg,5I02-01,20,"Rs.18,700.00",9,0,"Rs.18,700.00"
1332,Iron Oxide (Eagle) 190 Holand Red 20 kg,5I02-02,20,"Rs.12,500.00",17,0,"Rs.212,500.00"
1333,Iron Oxide (Eagle) Max - Holand Black  20 kg,5I02-03,20,"Rs.20,475.00",23,0,"Rs.593,775.00"
1334,Iron Oxide (Eagle) Holand Black 20 kg,5I02-04,20,"Rs.14,175.00",8,2,"Rs.354,375.00"
1335,Iron Oxide (Eagle) Holand Brown 20 kg,5I02-05,20,"Rs.27,500.00",4,1,"Rs.137,500.00"
1336,Iron Oxide (Eagle) Holand Green 15 kg,5I02-06,15,"Rs.20,550.00",3,0,"Rs.102,750.00"
1337,Iron Oxide (Eagle) Holand Blue 10 kg,5I02-07,10,"Rs.15,500.00",7,0,"Rs.108,500.00"
1338,Iron Oxide (Eagle) Holand Yellow 10 kg,5I02-08,10,"Rs.14,464.00",6,0,"Rs.57,856.00"
1339,Iron Oxide (Eagle) 130 Holand Red 1 kg,5I03-01,1,Rs.945.00,24,33,"Rs.139,860.00"
1340,Iron Oxide (Eagle) 190 Holand Red 1 kg,5I03-02,1,Rs.690.00,0,42,"Rs.53,820.00"
1341,Iron Oxide (Eagle) Max - Holand Black 1 kg,5I03-03,1,Rs.980.00,201,0,"Rs.178,360.00"
1342,Iron Oxide (Eagle) Holand Black 1 kg,5I03-04,1,Rs.770.00,133,42,"Rs.125,510.00"
1343,Iron Oxide (Eagle) Holand Brown 1 kg,5I03-05,1,"Rs.1,390.00",0,6,"Rs.16,680.00"
1344,Iron Oxide (Eagle) Holand Green 1 kg,5I03-06,1,"Rs.1,380.00",2,0,Rs.0.00
1345,Iron Oxide (Eagle) Holand Blue 1 kg,5I03-07,1,"Rs.1,525.00",26,0,"Rs.39,650.00"
1346,Iron Oxide (Eagle) Holand Yellow 500 g,5I03-08,500,Rs.795.00,13,0,"Rs.15,900.00"
1347,Appo Lock,6D01-01,0,Rs.890.00,375,15,"Rs.335,530.00"
1348,Appo Lock Card,6D01-02,0,Rs.677.00,0,0,Rs.0.00
1349,(505-808) Lock (L),6D02-01,0,"Rs.2,048.00",0,0,Rs.0.00
1350,505 Lock (S),6D02-02,0,"Rs.2,048.00",0,0,Rs.0.00
1351,Drawar Lock 138-26,6D02-03,0,"Rs.3,885.00",21,0,"Rs.38,850.00"
1352,Union Lock,6D03-01,0,"Rs.1,601.00",0,0,Rs.0.00
1353,Mortice Lock China,6D03-02,0,Rs.763.00,0,0,Rs.0.00
1354,Mortice Lock (Indian) V3 909,6D03-03,0,Rs.854.00,0,0,Rs.0.00
1355,Mortice Lock (Sumo Brand) B698,6D03-04,0,"Rs.3,134.00",0,0,Rs.0.00
1356,Mortice Lock (Sumo Brand) S700,6D03-05,0,"Rs.2,247.00",0,0,Rs.0.00
1357,Mortice Lock (Safex Brand) Bello 07,6D03-06,0,"Rs.2,300.00",0,0,Rs.0.00
1358,Door Lock (Wista) W 20181 - MAE,6D04-01,0,"Rs.2,460.00",0,0,Rs.0.00
1359,Door Lock (Wista) W 20261 - SN - NP,6D04-02,0,"Rs.4,870.00",0,0,Rs.0.00
1360,Door Lock (Wista) W 20261 - MAE,6D04-03,0,"Rs.2,460.00",0,0,Rs.0.00
1361,Door Lock (Wista) W 20603 - MAE,6D04-04,0,"Rs.5,434.00",0,0,Rs.0.00
1362,Door Lock (Wista) W 20603 - MAB,6D04-05,0,"Rs.6,248.00",0,0,Rs.0.00
1363,Door Lock (Wista) W 20191 - MAE,6D04-06,0,"Rs.2,460.00",0,0,Rs.0.00
1364,Door Lock (Wista) W 20172 - MAE,6D04-07,0,"Rs.2,460.00",0,0,Rs.0.00
1365,Door Lock (Wista) W 20700 - MAE,6D04-08,0,"Rs.5,434.00",0,0,Rs.0.00
1366,Door Lock (Wista) W 20700 - MAB,6D04-09,0,"Rs.6,248.00",0,0,Rs.0.00
1367,Door Lock (Wista) W 20604 - MAE,6D04-10,0,"Rs.6,275.00",0,0,Rs.0.00
1368,Door Lock (Wista) W 20185 - MAE,6D04-11,0,"Rs.6,248.00",0,0,Rs.0.00
1369,Door Lock (Wista) W 20185 - MAB,6D04-12,0,"Rs.6,248.00",0,0,Rs.0.00
1370,Door Lock (Wista) W 20606 - MAE,6D04-13,0,"Rs.5,434.00",0,0,Rs.0.00
1371,Door Lock (Wista) W 20611 - MAB,6D04-14,0,"Rs.6,248.00",0,0,Rs.0.00
1372,Door Lock (Wista) W 20611 - MAE,6D04-15,0,"Rs.5,434.00",0,0,Rs.0.00
1373,Door Lock (Wista) W 20606 - MAB,6D04-16,0,"Rs.5,434.00",0,0,Rs.0.00
1374,Door Lock (Wista) W 20604 - MAB,6D04-17,0,"Rs.6,275.00",0,0,Rs.0.00
1375,Door Lock (Wish) GD26 - MAB,6D05-01,0,"Rs.3,960.00",0,0,Rs.0.00
1376,Door Lock (Wish) GD27 - MAE,6D05-02,0,"Rs.3,960.00",0,0,Rs.0.00
1377,Door Lock (Wish) GD35 - MAE,6D05-03,0,"Rs.3,960.00",0,0,Rs.0.00
1378,Door Lock (Wish) GD26 - MAE,6D05-04,0,"Rs.3,960.00",0,0,Rs.0.00
1379,Door Lock (Wish) GD88 - MAE,6D05-05,0,"Rs.3,960.00",0,0,Rs.0.00
1380,Door Lock (Wish) GD23 - MAE,6D05-06,0,"Rs.3,960.00",0,0,Rs.0.00
1381,Door Lock (Booz) B68H68 - MAE,6D06-01,0,"Rs.2,600.00",0,0,Rs.0.00
1382,Door Lock (Booz) BM12 - MAE,6D06-02,0,"Rs.2,070.00",1,0,Rs.0.00
1383,Door Lock (Booz) BM16 - MAB,6D06-03,0,"Rs.2,070.00",0,0,Rs.0.00
1384,Door Lock (Booz) BM07 - MAB,6D06-04,0,"Rs.2,070.00",0,0,Rs.0.00
1385,Door Lock (Booz) BM11 - MAE,6D06-05,0,"Rs.2,070.00",0,0,Rs.0.00
1386,Door Lock (Booz) BM16 - MAE,6D06-06,0,"Rs.2,070.00",0,0,Rs.0.00
1387,Door Lock (Booz) BM07 - MAE,6D06-07,0,"Rs.2,070.00",0,0,Rs.0.00
1388,Door Lock (Booz) B01 - MAE,6D06-08,0,"Rs.2,600.00",0,0,Rs.0.00
1389,Door Lock (Booz) B15 - MAE,6D06-09,0,"Rs.2,600.00",0,0,Rs.0.00
1390,Door Lock (Booz) B03 - MAE,6D06-10,0,"Rs.2,600.00",0,0,Rs.0.00
1391,Door Lock (Booz) BM13 - MAB,6D06-11,0,"Rs.2,070.00",1,0,"Rs.2,070.00"
1392,Door Lock (Booz) BM13 - MAE,6D06-12,0,"Rs.2,070.00",1,0,"Rs.2,070.00"
1393,Door Lock (Booz) BM12 - MAB,6D06-13,0,"Rs.2,070.00",0,0,Rs.0.00
1394,Door Lock (Booz) BM18 - MAE,6D06-14,0,"Rs.2,070.00",0,0,Rs.0.00
1395,Door Lock (Booz) BM11 - MAB,6D06-15,0,"Rs.2,070.00",1,0,"Rs.2,070.00"
1396,Wire Brash Plastic Handle Brass,2H48-04,0,Rs.226.00,0,0,Rs.0.00
1397,Water Seal (14mm),3G67-06,14,Rs.315.00,0,0,Rs.0.00
1398,Tarpaulin Roll 8 Feet (Orange & Blue),3G80-02,0,"Rs.19,240.00",0,0,Rs.0.00
1399,HSS Drill Bit (EHPL) 6 mm,1P01-38,6,Rs.390.00,370,0,"Rs.140,400.00"
1400,Cistern Under Ball Valve ( Push ),4S26-03,0,Rs.300.00,0,0,Rs.0.00
1401,Door Lock (EHPL) 8505 MAB/BN,6D08-01,0,"Rs.6,950.00",0,0,Rs.0.00
1402,Door Lock (EHPL) 8505 MAE/BN,6D08-02,0,"Rs.6,950.00",0,0,"Rs.48,650.00"
1403,Three - Jaw Gear Puller 4 Inch,3G83-01,4,"Rs.1,150.00",61,0,"Rs.77,050.00"
1404,Door Lock (EHPL) 8505 MSN/BN,6D08-03,0,"Rs.6,950.00",0,0,"Rs.55,600.00"
1405,Three - Jaw Gear Puller 6 Inch,3G83-02,6,"Rs.1,650.00",19,1,"Rs.31,350.00"
1406,Door Lock (EHPL) 85102 MAE,6D08-04,0,"Rs.2,991.00",0,0,Rs.0.00
1407,Three - Jaw Gear Puller 8 Inch,3G83-03,8,"Rs.2,300.00",25,1,"Rs.48,300.00"
1408,Door Lock (EHPL) 85102-6 MAE,6D08-05,0,"Rs.3,303.00",0,0,Rs.0.00
1409,Three - Jaw Gear Puller 10 Inch,3G83-04,10,"Rs.3,500.00",5,0,"Rs.17,500.00"
1410,Door Lock (EHPL) 85102-9 MAE,6D08-06,0,"Rs.3,303.00",0,0,Rs.0.00
1411,Door Lock (EHPL) 85104 MAB,6D08-07,0,"Rs.2,991.00",0,0,Rs.0.00
1412,Door Lock (EHPL) 85104 MAE,6D08-08,0,"Rs.3,740.00",0,0,Rs.0.00
1413,Pantry Hinges ( CTL ),3G84-01,0,Rs.190.00,0,0,Rs.0.00
1414,Door Lock (EHPL) 85106 BN/MSN,6D08-09,0,"Rs.6,950.00",0,0,"Rs.55,600.00"
1415,Pantry Hinges ( CTL ) Hydraulic,3G84-02,0,Rs.285.00,0,0,Rs.0.00
1416,Door Lock (EHPL) 85106 MSN/BN,6D08-10,0,"Rs.6,950.00",0,0,"Rs.20,850.00"
1417,Door Lock (EHPL) 85107 MAB,6D08-11,0,"Rs.5,875.00",0,0,Rs.0.00
1418,Insulation Tape ( Electrical ) Black,3G85-01,0,Rs.53.00,4010,140,"Rs.191,860.00"
1419,Door Lock (EHPL) 85107 MAE,6D08-12,0,"Rs.5,875.00",0,0,Rs.0.00
1420,Insulation Tape ( Electrical ) Green,3G85-02,0,Rs.53.00,100,10,"Rs.6,890.00"
1421,Door Lock (EHPL) 85109 MAE,6D08-13,0,"Rs.3,841.00",0,0,Rs.0.00
1422,Insulation Tape ( Electrical ) Blue,3G85-03,0,Rs.53.00,0,30,"Rs.2,120.00"
1423,Insulation Tape ( Electrical ) Red,3G85-04,0,Rs.53.00,0,10,"Rs.3,604.00"
1424,Door Lock (EHPL) 85114A MAB/BN,6D08-14,0,"Rs.6,480.00",0,0,Rs.0.00
1425,Wall Plug ( Nylon ) 6 mm - 100Pcs,3G27-07,6,Rs.120.00,0,0,Rs.0.00
1426,Wall Plug ( Nylon ) 7 mm - 100Pcs,3G27-08,7,Rs.185.00,0,0,Rs.0.00
1427,Door Lock (EHPL) 85114A MAE/BN,6D08-15,0,"Rs.6,480.00",0,0,Rs.0.00
1428,Wall Plug ( Nylon ) 8 mm -100Pcs,3G27-09,8,Rs.185.00,0,0,Rs.0.00
1429,Door Lock (EHPL) 85118 MSN/BN,6D08-16,0,"Rs.6,480.00",0,0,Rs.0.00
1430,Door Lock (EHPL) 85118 MAE/BN,6D08-17,0,"Rs.6,480.00",0,0,Rs.0.00
1431,Wall Plug ( Nylon ) 10 mm - 50Pcs,3G27-10,10,Rs.180.00,0,0,"Rs.2,880.00"
1432,Wall Plug ( NYLON ) 12 mm - 25Pcs,3G27-11,12,Rs.145.00,0,0,Rs.0.00
1433,Door Lock (EHPL) 8514 MAE,6D08-18,0,"Rs.3,565.00",0,0,Rs.0.00
1434,Glue Gun ( Hot Melt ) Small,3G86-01,0,Rs.485.00,12,3,"Rs.5,820.00"
1435,Door Lock (EHPL) 85152 MAB,6D08-19,0,"Rs.3,313.00",0,0,Rs.0.00
1436,Door Lock (EHPL) 85152 MAE,6D08-20,0,"Rs.3,313.00",0,0,Rs.0.00
1437,Glue Gun ( Hot Melt ) Large,3G86-02,0,Rs.690.00,3,0,Rs.0.00
1438,Door Lock (EHPL) 85161A MAB/CP,6D08-21,0,"Rs.5,875.00",0,0,Rs.0.00
1439,Glue Stick 0.72 x 25 cm,3G87-01,0,"Rs.1,390.00",189,3,"Rs.264,100.00"
1440,Door Lock (EHPL) 85161A MAE/CP,6D08-22,0,"Rs.5,875.00",0,0,"Rs.23,500.00"
1441,Door Lock (EHPL) 85191 MBN/CP,6D08-23,0,"Rs.6,080.00",0,0,Rs.0.00
1442,Measurering Tape ( Heavy - Fiber ) 10 m,3G18-11,10,Rs.630.00,0,0,Rs.0.00
1443,Door Lock (EHPL) 8520 AC,6D08-24,0,"Rs.2,991.00",0,0,Rs.0.00
1444,Measurering Tape ( Heavy - Fiber ) 15 m,3G18-12,15,Rs.715.00,0,0,Rs.0.00
1445,Door Lock (EHPL) 8520 MAE,6D08-25,0,"Rs.3,841.00",0,0,Rs.0.00
1446,Door Lock (EHPL) 85220 MAB/WD,6D08-26,0,"Rs.6,950.00",0,0,"Rs.41,700.00"
1447,Measurering Tape ( Heavy - Fiber ) 20 m,3G18-12,20,Rs.820.00,0,3,"Rs.18,040.00"
1448,Door Lock (EHPL) 85220 MAE/WD,6D08-27,0,"Rs.6,950.00",0,0,"Rs.13,900.00"
1449,Measurering Tape ( Heavy - Fiber ) 30 m,3G18-14,30,Rs.925.00,0,0,Rs.0.00
1450,Door Lock (EHPL) 85312 AE/CP,6D08-28,0,"Rs.6,950.00",0,0,Rs.0.00
1451,Measurering Tape (Heavy - Fiber ) 50 m,3G18-15,50,"Rs.1,410.00",153,0,"Rs.211,500.00"
1452,Steel Measuring Tape ( Zi Ming ) 3 m,3G17-09,3,Rs.320.00,1217,0,"Rs.405,440.00"
1453,Door Lock (EHPL) 8538 MAE,6D08-29,0,"Rs.3,841.00",0,0,Rs.0.00
1454,Steel Measuring Tape ( Zi Ming ) 5 m,3G17-10,5,Rs.370.00,1418,31,"Rs.624,190.00"
1455,Steel Measuring Tape ( Zi Ming ) 7.5 m,3G17-11,7.5,Rs.695.00,0,3,"Rs.2,085.00"
1456,Door Lock (EHPL) 85413 MAB/CP,6D08-30,0,"Rs.5,875.00",0,0,"Rs.111,625.00"
1457,Door Lock (EHPL) 8547 MAB,6D08-31,0,"Rs.3,841.00",0,0,Rs.0.00
1458,Door Lock (EHPL) 8547 MAE,6D08-32,0,"Rs.3,841.00",0,0,Rs.0.00
1459,Spirit Level ( Ltabile - Orange ) 30 m,2H56-01,30,Rs.925.00,0,2,"Rs.1,850.00"
1460,Door Lock (EHPL) 8548 AB,6D08-33,0,"Rs.2,991.00",0,0,Rs.0.00
1461,Spirit Level ( Ltabile - Orange ) 40 cm,2H56-02,40,Rs.998.00,74,0,"Rs.75,848.00"
1462,Door Lock (EHPL) 8548 MAE,6D08-34,0,"Rs.3,740.00",0,0,Rs.0.00
1463,Spirit Level ( Ltabile - Orange ) 50 cm,2H56-03,50,"Rs.1,105.00",14,0,"Rs.15,470.00"
1464,Door Lock (EHPL) 8550 MAB/BN,6D08-35,0,"Rs.6,950.00",0,0,Rs.0.00
1465,Spirit Level ( Ltabile - Orange ) 60 cm,2H56-04,60,"Rs.1,230.00",54,0,"Rs.66,420.00"
1466,Door Lock (EHPL) 8550 MSN/BN,6D08-36,0,"Rs.6,950.00",0,0,Rs.0.00
1467,Engineering Long Measurering Tape ( Fiber ) 30 m,3G88-01,30,Rs.640.00,221,0,"Rs.142,720.00"
1468,Door Lock (EHPL) 8551 MAE,6D08-37,0,"Rs.3,740.00",0,0,Rs.0.00
1469,Engineering Long Measurering Tape ( Fiber ) 50 m,3G88-02,50,Rs.750.00,195,0,"Rs.147,000.00"
1470,Door Lock (EHPL) 8580 MAB/WD,6D08-38,0,"Rs.6,950.00",0,0,Rs.0.00
1471,Door Lock (EHPL) 8581 MAB/CP,6D08-39,0,"Rs.5,875.00",0,0,Rs.0.00
1472,Engineering Long Measurering Tape ( Fiber ) 100 m,3G88-03,100,"Rs.1,320.00",5,0,"Rs.17,160.00"
1473,Cable Clip 4 mm,3G89-01,4,Rs.105.00,497,0,"Rs.32,865.00"
1474,Door Lock (EHPL) 8582 MAE/BN,6D08-40,0,"Rs.6,950.00",0,0,Rs.0.00
1475,Cable Clip 6 mm,3G89-02,6,Rs.120.00,752,0,"Rs.90,360.00"
1476,Door Lock (EHPL) 8582 MSN/BN,6D08-41,0,"Rs.6,950.00",0,0,Rs.0.00
1477,Cable Clip 8 mm,3G89-03,8,Rs.150.00,170,0,"Rs.26,850.00"
1478,Door Lock (EHPL) 8582A WAB/BN,6D08-42,0,"Rs.6,480.00",0,0,"Rs.6,480.00"
1479,Cable Clip 10 mm,3G89-04,10,Rs.180.00,406,0,"Rs.73,620.00"
1480,Door Lock (EHPL) 8588 MAB/CP,6D08-43,0,"Rs.6,950.00",0,0,Rs.0.00
1481,Door Lock (EHPL) 8588 MAE/CP,6D08-44,0,"Rs.6,950.00",0,0,"Rs.62,550.00"
1482,Forx Pop Riverts 1/8 x 1/2 ( 1000 Pcs ),3G50-19,08-Jan,"Rs.2,592.00",0,0,Rs.0.00
1483,Door Lock (EHPL) 8588 MAE/WD/CP,6D08-45,0,"Rs.6,080.00",0,0,Rs.0.00
1484,Forx Pop Riverts 1/8 x 3/8 ( 1000 Pcs ),3G50-20,08-Jan,"Rs.2,500.00",0,0,"Rs.10,000.00"
1485,Door Lock (EHPL) 8591 MSN/BN,6D08-46,0,"Rs.6,950.00",0,0,Rs.0.00
1486,Forx Pop Riverts 1/8 x 3/4 ( 1000 Pcs ),3G50-21,08-Jan,"Rs.3,565.00",19,0,"Rs.57,040.00"
1487,Forx Pop Riverts 5/32 x 1/2 ( 1000 Pcs ),3G50-22,May-32,"Rs.3,456.00",0,0,Rs.0.00
1488,Forx Pop Riverts 5/32 x 3/4 (1000 Pcs ),3G50-23,May-32,"Rs.5,292.00",0,0,Rs.0.00
1489,Forx Pop Riverts 3/16 x 3/4 ( 500 Pcs ),3G50-24,16-Mar,"Rs.3,564.00",0,0,Rs.0.00
