#,Product,Code,Category,Retail Price,Whole Sale Price,Actions,Qty
819,L Bracket 12X14,3G26-07,General Hardware,2420,2178,,66
820,Wall Plug 6mm (100Pcs),3G27-01,General Hardware,98,88,,0
821,Wall Plug 7mm (100Pcs),3G27-02,General Hardware,140,126,,0
822,Wall Plug 8mm (100Pcs),3G27-03,General Hardware,175,157.5,,0
823,Wall Plug 10mm (50Pcs),3G27-04,General Hardware,180,162,,270
824,Wall Plug 10mm (100Pcs),3G27-05,General Hardware,184,165,,0
825,Wall Plug 12mm (25Pcs),3G27-06,General Hardware,150,135,,120
826,Combination Stone (Plastic Box) 6 Inch,3G28-01,General Hardware,341,310,,0
827,Combination Stone (Plastic Box) 8 Inch,3G28-02,General Hardware,378,341,,0
828,Double Side Tape No 1 - 1 Inch,3G29-01,General Hardware,330,300,,10
829,Double Side Tape No 1 - 1/2 Inch,3G29-02,General Hardware,168,151,,166
830,Flashing Tape 2 Inch,3G30-01,General Hardware,875,790,,224
831,Flashing Tape 3 Inch,3G30-02,General Hardware,1315,1185,,181
832,Flashing Tape 4 Inch,3G30-03,General Hardware,1885,1700,,0
833,Duct Tape 2 Inch,3G31-01,General Hardware,515,465,,180
834,Mesh Tape 20m,3G32-01,General Hardware,220,198,,0
835,Mesh Tape 45m,3G32-02,General Hardware,350,315,,0
836,Mesh Tape 75m,3G32-03,General Hardware,321,279,,0
837,"Sand Paper Roll 4""X40 (50m)",3G33-01,General Hardware,3916,3664,,0
838,"Sand Paper Roll 4""X60 (50m)",3G33-02,General Hardware,3916,3664,,0
839,"Sand Paper Roll 4""X80 (50m)",3G33-03,General Hardware,3916,3664,,0
840,"Sand Paper Roll 4""X100 (50m)",3G33-04,General Hardware,3916,3664,,0
841,"Sand Paper Roll 4""X120 (50m)",3G33-05,General Hardware,3916,3664,,0
842,"Sand Paper Roll 6""X60 (25m)",3G33-06,General Hardware,5512,4961,,0
843,"Sand Paper Roll 6""X80 (25m)",3G33-07,General Hardware,2636,2410,,0
